번호,부문,감축사업명,모니터링인자,원단위값,단위
1-1,전환,태양광 발전,시설용량; 발전량,0.617; 0.0004781,tCO2eq/kW; tCO2eq/kWh
1-2,전환,건물일체형(BIPV) 태양광발전,시설용량; 발전량,0.4602; 0.0004781,tCO2eq/kW; tCO2eq/kWh
1-3,전환,미니태양광 발전,시설용량; 발전량,0.4529; 0.0004781,tCO2eq/kW; tCO2eq/kWh
1-4,전환,수상태양광 발전,시설용량; 발전량,0.6264; 0.0004781,tCO2eq/kW; tCO2eq/kWh
1-5,전환,영농형 태양광 발전,시설용량; 설치면적; 발전량,0.6836; 0.0224; 0.0004781,tCO2eq/kW; tCO2eq/m2; tCO2eq/kWh
1-6,전환,태양열 시스템 보급 확대,"설치면적(평판형); 설치면적(공기식무창형); 설치면적(공기식유창형); 설치면적(단일진공관,이중진공관형)",0.285; 0.233; 0.266; 0.356,tCO2eq/m2; tCO2eq/m2; tCO2eq/m2; tCO2eq/m2
1-7,전환,풍력 발전,시설용량; 발전량,0.951; 0.0004781,tCO2eq/kW; tCO2eq/kWh
1-8,전환,소수력 발전,설비용량; 발전량,1.096; 0.0004781,tCO2eq/kW; tCO2eq/kWh
1-9,전환,지열,보급물량; 설치용량; 열생산량,0.479; 0.413; 56.1,tCO2eq/RT; tCO2eq/kW; tCO2eq/TJ
1-10,전환,소각장 폐열 자원화,소각량(B-C유 대체); 소각량(경유대체); 소각량(LNG대체),0.782; 0.713; 0.545,tCO2eq/톤; tCO2eq/톤; tCO2eq/톤
1-11,전환,하수열 및 하천수열 이용,보급물량,1.736,tCO2eq/kW
1-12,전환,바이오가스 열병합 발전,보급용량,"3,590.7",tCO2eq/MW
2-1,산업,청정연료 전환시설 지원,시설 용량(벙커C유 → LNG); 시설 용량(정제연료유 →LNG); 시설 용량(부생연료유 1호 → LNG); 시설 용량(부생연료유 2호 → LNG),130.44; 92.17; 93.79; 126.67,tCO2eq/톤; tCO2eq/톤; tCO2eq/톤; tCO2eq/톤
2-2,산업,산업체 저녹스버너 교체,교체 대수; 교체 대수(경유 →경유); 교체 대수(LNG →LNG); 교체 대수(중유 →LNG); 교체 대수(경유 → LNG),18.21; 15.5; 15.48; 28.39; 13.46,tCO2eq/대; tCO2eq/대; tCO2eq/대; tCO2eq/대; tCO2eq/대
2-3,산업,건설기계(굴착기) 전동화,전기굴착기 보급대수,5.014,tCO2eq/대
2-4,산업,산업용 냉동기 교효율 기기 설비교체,"교체대수(정격냉동능력 1,055kW 이하); 교체대수(정격냉동능력 1,055~7,032kW)",95.45; 204.77,tCO2eq/대; tCO2eq/대
3-1,건물,탄소중립포인트제 운영 (가입가구),탄소포인트제 가입 가구수,0.107,tCO2eq/가구수
3-2,건물,"탄소포인트제 운영(LNG, 수도, 전력)",사용절감량(LNG); 사용절감량(수도); 사용절감량(전력),0.002188; 0.000237; 0.0004781,tCO2eq/m3; tCO2eq/m3; tCO2eq/kWh
3-3,건물,공공건축물 그린 리모델링,사업면적,0.00459,tCO2eq/㎡
3-4,건물,민간 부문 그린 리모델링,리모델링 사업 면적,0.0090,tCO2eq/㎡
3-5,건물,기존 건물 BRP 사업,사업 면적,0.0139,tCO2eq/㎡
