연번,부문,사업명
1,건물,도시재생사업 연계 주택에너지 효율개선
2,건물,물 수요관리(재이용) 확대
3,건물,신축건물 에너지 성능 강화
4,건물,"HEMS/BEMS, 스마트 미터기 등 스마트에너지 관리"
5,건물,LPG 배관망과 온실가스 배출권 연계 플랫폼 구축
6,건물,LPG 소형저장탱크 보급 확대
7,건물,Smart Metering을 통한 에너지 절감
8,건물,가정에너지관리시스템(HEMS) 보급
9,건물,가정용 스마트전력 플랫폼 구축사업
10,건물,가정용 보일러 저녹스 버너 지원
11,건물,간판개선 사업추진
12,건물,건물 에너지 사용 및 탄소배출 정보 제공
13,건물,건물 열병합발전시설 보급
14,건물,건물 온실가스 총량제 도입
15,건물,건물에너지관리시스템 도입 및 보급
16,건물,건물 에너지 효융화 사업추진
17,건물,건물용 연료전지 발전 도입
18,건물,건축물 에너지 등급제 시행
19,건물,건축물 태양광+ESS 연계 보급
20,건물,고효율 절약기기 도입
21,건물,공공/상업 건축물 냉난방 온도 기준 설정 및 적용
22,건물,공공건물 ZEB 전환
23,건물,공공건물 그린 리모델링
24,건물,공공건물 녹색건축물 설계기준 시행
25,건물,공공건축물 리모델링
26,건물,공공건축물 청정에너지 보급
27,건물,공공기관 절수기기 보급
28,건물,공공기관 확대기반조성사업
29,건물,공공부문 LED 보급 확대
30,건물,공공시설 등 신재생 지역지원사업
31,건물,공동주택 ESCO 사업
32,건물,공동주택 고효율 조명기기 교체사업
33,건물,공동주택 미니태양광 보급사업
34,건물,공동주택 승강기 자가발전장치 설치지원
35,건물,광역원수 및 하천수를 활용한 도심지 냉난방 설비 구축
36,건물,군(郡) 단위 LPG 배관망 지원
37,건물,그린아파트 인증제 추진
38,건물,그린홈 주택지원사업
39,건물,기존 공공건축물 녹색건축물 전환 의무화
40,건물,기존건축물 에너지 고효율화
41,건물,기후 위기 대응을 위한 쿨시티사업
42,건물,노후 건축물 에너지 효율화 확대
43,건물,노후 도로조명 및 가로등 LED 교체
44,건물,노후 건축물 그린 리모델링 사업
45,건물,녹색 건축물 조성 보조금 지원사업
46,건물,녹색건축물 설치 기반 구축 및 확대
47,건물,녹색건축물 조성 보조금 지원사업 추진
48,건물,농어촌마을 LPG 소형저장탱크 보급
49,건물,단독건축물 태양광 지붕 전환
50,건물,단열 설비 리모델링
51,건물,도로 조명시설 밝기 개선사업
52,건물,도시가스 사용시설을 전기로 전환
53,건물,마이크로 그리드 시스템 구축
54,건물,목재펠릿 보일러 보급
55,건물,무탄소 연료전환 지원사업
56,건물,민간 녹색건축물 설계기준 시행
57,건물,"민간 LED 보급사업[대규모점포, 공동주택(주차장)]"
58,건물,벽면녹화 사업
59,건물,분산 전원용 태양광(민간투자)
60,건물,비산업 부문 사업장 온실가스 진단 컨설팅
61,건물,빈집 그린 리모델링을 통한 나눔 주택 지원
62,건물,빗물이용시설 설치지원
63,건물,사업장 방지시설 및 저녹스 버너 교체
64,건물,사업장 청정연료 전환사업
65,건물,사용자 중심의 친환경 공공건축물 건립
66,건물,사회복지시설 에너지효율 향상
67,건물,상업용 연료전지 시스템 보급
68,건물,소규모 사업장 저녹스 버너 지원
69,건물,소규모 임대주택 제로 에너지 감축 추진
70,건물,"수소 시범도시 조성_수소연료전지 보급, 수소 배관 등"
71,건물,수열 에너지 이용 확대
72,건물,수열 에너지를 활용한 냉난방 시스템 도입
73,건물,수요자원거래 시장 참여
74,건물,스마트 그린시티 조성
75,건물,스마트 솔라트리 설치
76,건물,스마트가로등 설치사업
77,건물,스마트전력 플랫폼 사업(스마트 미터기 보급)
78,건물,승강기 자가발전장치 지원
79,건물,시청사 녹색 프리미엄 요금제
80,건물,시청사 탄소 제로화
81,건물,신규건축물의 제로 에너지건축물 보급사업
82,건물,신재생에너지 보급
83,건물,신재생에너지 주택지원사업
84,건물,신축 공공건축물 제로 에너지 인증 강화
85,건물,아파트 승강기 전력 생산 장치 보급
86,건물,업무용 고효율 공조기 보급
87,건물,에너지 자립형 가로등 설치
88,건물,에너지 자립형 도로 관리시설 설치
89,건물,에너지 자립형 스마트 그늘막 설치
90,건물,에너지 자립형 스마트 그린 버스정류장 확대
91,건물,에너지 홈닥터
92,건물,에너지 고효율 기기 보급 및 설치
93,건물,에너지 이용 합리화 자금지원
94,건물,에너지절약형 LED 간판 및 보안등 개선사업
95,건물,마을 단위 LPG 소형탱크 보급
96,건물,에너지 홈닥터 운영
